professor,query,rank,result_count,top5,included_top3,included_top5
강준구,소재설계,1,1,강준구,True,True
강준구,materials design,1,1,강준구,True,True
강준구,machine-learned potential,1,1,강준구,True,True
강준구,머신러닝 포텐셜,1,1,강준구,True,True
강준구,생성형 AI 소재,1,1,강준구,True,True
강준구,metadynamics,1,1,강준구,True,True
김아람,강상관계,1,3,김아람 | 이재동 | 김소연,True,True
김아람,strongly correlated systems,1,3,김아람 | 김소연 | 이재동,True,True
김아람,양자다체,1,3,김아람 | 이재동 | 김소연,True,True
김아람,quantum many-body,1,3,김아람 | 이재동 | 김소연,True,True
김아람,양자다체 알고리즘,1,3,김아람 | 이재동 | 김소연,True,True
김아람,quantum many-body algorithm,1,3,김아람 | 이재동 | 김소연,True,True
김아람,양자 몬테카를로,1,10,김아람 | 김영욱 | 권용성 | 박기성 | 서정필,True,True
김아람,quantum Monte Carlo,1,10,김아람 | 김영욱 | 권용성 | 박기성 | 서정필,True,True
김아람,QMC,1,3,김아람 | 이재동 | 김소연,True,True
김아람,동적평균장이론,1,1,김아람,True,True
김아람,dynamical mean-field theory,1,1,김아람,True,True
김아람,DMFT,1,3,김아람 | 이재동 | 김소연,True,True
김아람,파인만 도표,1,3,김아람 | 이재동 | 김소연,True,True
김아람,Feynman diagram,1,3,김아람 | 이재동 | 김소연,True,True
김아람,허바드 모델,1,3,김아람 | 이재동 | 김소연,True,True
김아람,Hubbard model,1,3,김아람 | 이재동 | 김소연,True,True
김아람,비전통 초전도,1,4,김아람 | 권용성 | 박기성 | 서정필,True,True
김철기,자기센서,1,1,김철기,True,True
김철기,magnetic sensor,1,1,김철기,True,True
김철기,3축 자기장 센서,1,5,김철기 | 이성원 | 이신범 | 박진희 | 정낙천,True,True
김철기,3D field sensor,1,5,김철기 | 이성원 | 이신범 | 박진희 | 정낙천,True,True
김철기,스핀트로닉스 소자,1,3,김철기 | 유천열 | 홍정일,True,True
김철기,spintronics device,1,3,김철기 | 유천열 | 홍정일,True,True
김철기,Planar Hall,1,1,김철기,True,True
김철기,평면 홀 자기저항,1,1,김철기,True,True
김철기,PHMR,1,1,김철기,True,True
김철기,Bio-NEMS,1,1,김철기,True,True
김철기,Bio MEMS,1,1,김철기,True,True
김철기,바이오 자기소자,1,1,김철기,True,True
김철기,magnetophoresis,1,1,김철기,True,True
김철기,자기 영동,1,1,김철기,True,True
김철기,나노바이오 스핀트로닉스,1,3,김철기 | 유천열 | 홍정일,True,True
김성균,지속가능화학,1,2,김성균 | 서상원,True,True
김성균,sustainable chemistry,1,2,김성균 | 서상원,True,True
김성균,수처리 소재,1,2,김성균 | 서상원,True,True
김성균,water treatment materials,1,2,김성균 | 서상원,True,True
김성균,해수담수화,1,2,김성균 | 서상원,True,True
김성균,seawater desalination,1,2,김성균 | 서상원,True,True
김성균,폐플라스틱 업사이클링,1,2,김성균 | 서상원,True,True
김성균,plastic upcycling,1,2,김성균 | 서상원,True,True
김성균,바이오매스 업사이클링,1,2,김성균 | 서상원,True,True
김성균,biomass upcycling,1,2,김성균 | 서상원,True,True
김성균,기능성 고분자,1,2,김성균 | 박진희,True,True
김성균,functional polymers,1,1,김성균,True,True
김성균,엔지니어링 플라스틱,1,1,김성균,True,True
김성균,태양열 증발,1,1,김성균,True,True
김영욱,위상 양자컴퓨팅,1,2,김영욱 | 조창희,True,True
김영욱,topological quantum computing,1,2,김영욱 | 조창희,True,True
김영욱,양자컴퓨팅,1,2,김영욱 | 조창희,True,True
김영욱,quantum computing,1,2,김영욱 | 조창희,True,True
김영욱,위상 양자소자,1,10,김영욱 | 권용성 | 박기성 | 서정필 | 김아람,True,True
김영욱,topological quantum device,1,10,김영욱 | 권용성 | 박기성 | 서정필 | 김아람,True,True
김영욱,2차원 전자계,1,1,김영욱,True,True
김영욱,2D electron system,1,1,김영욱,True,True
김영욱,양자수송,1,1,김영욱,True,True
김영욱,quantum transport,1,1,김영욱,True,True
김영욱,반데르발스 이종접합,1,1,김영욱,True,True
김영욱,van der Waals heterostructure,1,1,김영욱,True,True
김영욱,위상 양자회로,1,2,김영욱 | 조창희,True,True
김영욱,topological quantum circuit,1,2,김영욱 | 조창희,True,True
김영욱,스핀 기반 양자컴퓨팅,1,2,김영욱 | 조창희,True,True
권용성,고온 초전도,1,4,권용성 | 박기성 | 서정필 | 김아람,True,True
권용성,high Tc superconductor,1,4,권용성 | 서정필 | 박기성 | 김아람,True,True
권용성,철계 초전도,1,4,권용성 | 박기성 | 서정필 | 김아람,True,True
권용성,iron-based superconductor,1,4,권용성 | 박기성 | 서정필 | 김아람,True,True
권용성,초전도와 자성,1,4,권용성 | 박기성 | 서정필 | 김아람,True,True
권용성,superconductivity and magnetism,1,4,권용성 | 박기성 | 서정필 | 김아람,True,True
권용성,열전소재,1,1,권용성,True,True
권용성,thermoelectric materials,1,1,권용성,True,True
권용성,제벡 효과,1,1,권용성,True,True
권용성,Seebeck effect,1,1,권용성,True,True
권용성,펠티어 효과,1,1,권용성,True,True
권용성,Peltier effect,1,1,권용성,True,True
권용성,양자상전이,1,10,권용성 | 김영욱 | 박기성 | 서정필 | 김아람,True,True
권용성,quantum phase transition,1,10,권용성 | 김영욱 | 박기성 | 서정필 | 김아람,True,True
권용성,양자 임계점,1,10,권용성 | 김영욱 | 박기성 | 서정필 | 김아람,True,True
이재동,이론 응집물질물리,2,2,강준구 | 이재동,True,True
이재동,theoretical condensed matter physics,1,1,이재동,True,True
이재동,DFT,2,2,강준구 | 이재동,True,True
이재동,density functional theory,1,2,이재동 | 강준구,True,True
이재동,제일원리,2,2,강준구 | 이재동,True,True
이재동,first-principles,2,2,강준구 | 이재동,True,True
이재동,광물성 이론,3,3,성주영 | 김소연 | 이재동,True,True
이재동,light and matter theory,1,2,이재동 | 김아람,True,True
이재동,초고속 동역학,1,1,이재동,True,True
이재동,ultrafast dynamics,1,1,이재동,True,True
이재동,비평형 현상,1,1,이재동,True,True
이재동,nonequilibrium phenomena,1,1,이재동,True,True
이재동,실시간 TDDFT,1,1,이재동,True,True
이재동,time-dependent density functional theory,1,2,이재동 | 강준구,True,True
이재동,양자동역학,1,10,이재동 | 김영욱 | 권용성 | 박기성 | 서정필,True,True
이신범,반도체 에너지 센서,1,5,이신범 | 김철기 | 이성원 | 박진희 | 정낙천,True,True
이신범,semiconductor energy sensor,1,5,이신범 | 김철기 | 이성원 | 박진희 | 정낙천,True,True
이신범,다기능 박막,1,2,이신범 | 이성원,True,True
이신범,multifunctional films,1,2,이신범 | 이성원,True,True
이신범,나노구조 소자,1,1,이신범,True,True
