school,professor,old_summary_length,new_summary_length,display_summary
DGIST,이용우,130,46,"이용우 교수님은 AI/머신러닝, 반도체/전자소자, 화학/소재합성 분야를 연구합니다."
DGIST,이정협,79,44,"이정협 교수님은 반도체/전자소자, 광학/이미징, 뇌/신경과학 분야를 연구합니다."
DGIST,이효근,90,46,"이효근 교수님은 보안/암호/소프트웨어, 컴퓨터과학, 컴퓨터시스템 분야를 연구합니다."
DGIST,임성훈,72,44,"임성훈 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,장재은,156,56,"장재은 교수님은 생체 신호 센싱 시스템, 생체 모방 디바이스, 나노 통신 디바이스 분야를 연구합니다."
DGIST,장준기,86,45,"장준기 교수님은 AI/머신러닝, 반도체/전자소자, 뇌/신경과학 분야를 연구합니다."
DGIST,장진호,166,48,"장진호 교수님은 AI/머신러닝, 반도체/전자소자, 배터리/에너지저장 분야를 연구합니다."
DGIST,전민석,106,45,"전민석 교수님은 AI/머신러닝, 반도체/전자소자, 광학/이미징 분야를 연구합니다."
DGIST,좌훈승,106,44,"좌훈승 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,최원석,168,50,"최원석 교수님은 AI/머신러닝, 반도체/전자소자, 보안/암호/소프트웨어 분야를 연구합니다."
DGIST,최재호,92,46,"최재호 교수님은 AI/머신러닝, 반도체/전자소자, 통신/신호처리 분야를 연구합니다."
DGIST,최지웅,117,64,"최지웅 교수님은 생체 신호 통신 및 신호 처리, 뇌-기계 인터페이스(BMI), 5G 모바일 통신 분야를 연구합니다."
DGIST,황재윤,174,47,"황재윤 교수님은 스마트 헬스케어, AI/머신러닝, 반도체/전자소자 분야를 연구합니다."
DGIST,최한경,59,67,"최한경 교수님은 동물 행동의 시간적 조직화와 그 신경과학적 기전, 사회 행동의 일주기적 조절, 뇌과학 분야를 연구합니다."
DGIST,고재원,107,42,"고재원 교수님은 뇌질환, 시냅스 신경과학, AI/머신러닝 분야를 연구합니다."
DGIST,김규형,103,55,"김규형 교수님은 분자 기전, 감각-운동/고유수용감각 회로와 행동 조절, 신경회로 분야를 연구합니다."
DGIST,김민환,203,48,"김민환 교수님은 시냅스와 신경회로, AI/머신러닝, 반도체/전자소자 분야를 연구합니다."
DGIST,김은경,145,59,"김은경 교수님은 뇌신경세포와 비만, 당뇨 등의 대사 질환 관련 연구, 뇌대사와 대사질환 분야를 연구합니다."
DGIST,문제일,162,59,"문제일 교수님은 감각신경계 기반 뇌융합과학, 후각 신경계, 감각정보처리와 생체리듬 연구 분야를 연구합니다."
DGIST,박포정,117,42,"박포정 교수님은 신경생리학, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,백명인,171,53,"백명인 교수님은 zebrafish 등), 신경회로와 행동연구, AI/머신러닝 분야를 연구합니다."
DGIST,서병창,190,51,"서병창 교수님은 분자전기생리, 간질 및 통증의 분자적 기전 연구, 시냅스 분야를 연구합니다."
DGIST,오용석,174,62,"오용석 교수님은 모노아민 (세로토닌, 도파민)에 의한 신경조절과 기분, 불안 장애 기전 연구 분야를 연구합니다."
DGIST,엄지원,194,42,"엄지원 교수님은 시냅스, AI/머신러닝, 반도체/전자소자 분야를 연구합니다."
DGIST,유성운,124,45,"유성운 교수님은 신경퇴화의 대사, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,유우경,110,48,"유우경 교수님은 계산신경과학, 생물물리학과 양자생물, AI/머신러닝 분야를 연구합니다."
DGIST,이광,155,35,"이광 교수님은 신경회로, 신경기록, 신경조절 분야를 연구합니다."
DGIST,이석규,157,46,"이석규 교수님은 플라스틱 생분해, 반도체/전자소자, 광학/이미징 분야를 연구합니다."
DGIST,이성배,117,61,"이성배 교수님은 퇴행성 뇌질환의 세포기전, 신경계 유지 및 리모델링 연구, 신경퇴화의 대사 분야를 연구합니다."
DGIST,이효상,115,61,"이효상 교수님은 정서적 행동을 매개하는 신경회로 연구, 신경회로와 행동연구, AI/머신러닝 분야를 연구합니다."
DGIST,정한빈,145,37,"정한빈 교수님은 구조생물학, 막단백질, 이온채널 분야를 연구합니다."
DGIST,조용철,151,47,"조용철 교수님은 신경퇴화의 대사, AI/머신러닝, 반도체/전자소자 분야를 연구합니다."
DGIST,현정호,124,49,"현정호 교수님은 신경회로와 행동연구, AI/머신러닝, 반도체/전자소자 분야를 연구합니다."
DGIST,윤동원,204,44,"윤동원 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,김기섭,196,39,"김기섭 교수님은 로보틱스, 로봇공학, 자율주행자동차 분야를 연구합니다."
DGIST,김동욱,155,44,"김동욱 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,김민수,71,44,"김민수 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,김봉훈,113,43,"김봉훈 교수님은 반도체/전자소자, 로봇/제어, 광학/이미징 분야를 연구합니다."
DGIST,김소희,155,44,"김소희 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,김회준,129,46,"김회준 교수님은 반도체/전자소자, 로봇/제어, 배터리/에너지저장 분야를 연구합니다."
DGIST,남강현,157,44,"남강현 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,노어진,169,44,"노어진 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,문인규,127,52,"문인규 교수님은 지능형 영상시스템, AI기반 영상분석, AI기반 암호시스템 분야를 연구합니다."
DGIST,박경서,98,44,"박경서 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,박석호,88,43,"박석호 교수님은 반도체/전자소자, 로봇/제어, 광학/이미징 분야를 연구합니다."
DGIST,박준혁,146,44,"박준혁 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,송석호,203,44,"송석호 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,송철,83,43,"송철 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,오세훈,199,51,"오세훈 교수님은 친인간적인 운동제어 설계연구, 인간 보조, AI/머신러닝 분야를 연구합니다."
DGIST,유재석,90,44,"유재석 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,이상훈,202,44,"이상훈 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,이성민,77,43,"이성민 교수님은 반도체/전자소자, 로봇/제어, 광학/이미징 분야를 연구합니다."
DGIST,이아형,136,44,"이아형 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,이옥균,147,44,"이옥균 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,이용석,125,44,"이용석 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,이재홍,127,44,"이재홍 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,임용섭,132,59,"임용섭 교수님은 자율 주행 및 비행 시스템 제어, 로봇공학 및 지능제어, AI/머신러닝 분야를 연구합니다."
DGIST,장경인,57,44,"장경인 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,정소현,112,52,"정소현 교수님은 마이크로유체역학 및 연성물질, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,한상윤,205,44,"한상윤 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,황민호,87,44,"황민호 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,위태웅,304,51,"위태웅 교수님은 COMSOL 기반 분석, AI/머신러닝, 반도체/전자소자 분야를 연구합니다."
DGIST,권혁진,277,44,"권혁진 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,이태훈,283,50,"이태훈 교수님은 AI/머신러닝, 반도체/전자소자, 촉매/전기화학/CO2 분야를 연구합니다."
DGIST,박인철,181,44,"박인철 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,허수미,124,46,"허수미 교수님은 AI/머신러닝, 반도체/전자소자, 바이오/의생명 분야를 연구합니다."
DGIST,김영규,188,44,"김영규 교수님은 에너지 저장 소재, 계면 분석, 실시간 해석 분야를 연구합니다."
DGIST,이종민,142,52,"이종민 교수님은 반도체/전자소자, 배터리/에너지저장, 촉매/전기화학/CO2 분야를 연구합니다."
DGIST,고서진,112,48,"고서진 교수님은 AI/머신러닝, 반도체/전자소자, 배터리/에너지저장 분야를 연구합니다."
DGIST,김승현,138,44,"김승현 교수님은 AI/머신러닝, 반도체/전자소자, 로봇/제어 분야를 연구합니다."
DGIST,김진수,128,48,"김진수 교수님은 AI/머신러닝, 반도체/전자소자, 배터리/에너지저장 분야를 연구합니다."
